asset_id,subject_type,subject_slug,file,source,license_note,alt_text,status,trade_portal_upgrade
a-cl-01,port,cape-liberty,img/port/cape-liberty-hero.webp,pexels,Pexels license commercial ok,"Manhattan skyline seen across the harbor from Bayonne",to-source,no
a-cc-01,dest,cococay,img/dest/private-island-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/an-aerial-shot-of-a-beach-9400834/; photographer: Mikhail Nilov; downloaded 2026-07-29; generic Bahamian beach, not the actual private island","Aerial view of a white sand beach with turquoise water and beach umbrellas in the Bahamas",sourced,yes
a-na-01,port,nassau,img/port/nassau-hero.webp,unsplash,Unsplash license commercial ok,"Colorful waterfront buildings in Nassau Bahamas",to-source,no
a-d-bah,dest,bahamas,img/dest/bahamas-hero.webp,pexels,Pexels license commercial ok,"Aerial of Bahamian islands and sandbars",to-source,no
a-gal-01,port,galveston,img/port/galveston-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/amusement-park-near-body-of-water-2386404/; photographer: Trace Hudson; downloaded 2026-07-29","Galveston Island Historic Pleasure Pier at sunset, with amusement rides above the Gulf surf",sourced,no
a-coz-01,port,cozumel,img/port/cozumel-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/brown-wooden-dock-on-body-of-water-871488/; photographer: LRM Exterior; downloaded 2026-07-29","Aerial view of a beach club pier and clear turquoise water in Cozumel, Mexico",sourced,no
a-cm-01,port,costa-maya,img/port/costa-maya-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/tropical-beach-scene-with-boats-in-mahahual-mexico-29103931/; photographer: 23 Audiovisual; downloaded 2026-07-29","Fishing boats moored off a palm-shaded beach at Mahahual on the Costa Maya, Mexico",sourced,no
a-roa-01,port,roatan,img/port/roatan-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/idyllic-camp-bay-beach-in-honduras-30219384/; photographer: Lucie Liz; downloaded 2026-07-29","White sand and clear blue water at Camp Bay beach on Roatan, Honduras",sourced,no
a-wc-01,dest,western-caribbean,img/dest/western-caribbean-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/turquoise-waves-on-cancun-beach-37668900/; photographer: Margo Evardson; downloaded 2026-07-29","Turquoise waves breaking onto a sandy Caribbean beach near Cancun, Mexico",sourced,no
a-cc-02,dest,cococay,img/dest/private-island-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/an-aerial-shot-of-a-beach-9400834/; photographer: Mikhail Nilov; downloaded 2026-07-29; generic Bahamian beach, not the actual private island","Aerial view of a white sand beach with turquoise water and beach umbrellas in the Bahamas",sourced,yes
a-shp-01,ship-generic,ship-at-sea,img/ship-generic/ship-at-sea-hero.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/14712768/; photographer: Ushindi Namegabe; downloaded 2026-07-30; replaced the 2026-07-29 distant-sunset shot; top-down aerial framing: no hull name, no funnel logo and no livery marking is visible or legible at any delivered width","A cruise ship seen from directly overhead, under way on deep blue open ocean with sunlight rippling across the water",sourced,yes
a-shp-02,ship-generic,ship-at-sea,img/ship-generic/ship-at-sea-card.webp,pexels,"Pexels License (free for commercial use, no attribution required); photo: https://www.pexels.com/photo/14712768/; photographer: Ushindi Namegabe; downloaded 2026-07-30; replaced the 2026-07-29 distant-sunset shot; top-down aerial framing: no hull name, no funnel logo and no livery marking is visible or legible at any delivered width","A cruise ship seen from directly overhead, under way on deep blue open ocean with sunlight rippling across the water",sourced,yes
