port_slug,port_label,kind,blurb,highlights,currency,asset_id,notes,source,retrieved_date,pre_cruise
cape-liberty,Cape Liberty (Bayonne NJ),embark,The New York area's cruise gateway sits in Bayonne with the Manhattan skyline and Statue of Liberty in view. Driving distance for the entire tri-state area and an easy add-on city stay for everyone else.,Statue of Liberty views;20-30 min to Manhattan;huge drive-in market;pre-cruise NYC stay,USD,a-cl-01,,,,
port-canaveral,Port Canaveral FL,call,"An hour from Orlando's theme parks and next door to the Space Coast, this stop packs beaches rockets and attractions into one port day.",Kennedy Space Center;Cocoa Beach;Orlando parks within reach,USD,a-pc-01,,,,
cococay,Perfect Day at CocoCay,private-island,Royal Caribbean's private Bahamian island splits into free and paid zones: most of the island including beaches pools and dining is included with your cruise while the waterpark a premium beach club and an adults-only beach cost extra. Drink and Wi-Fi packages bought for the ship work on the island too.,Included beaches and pools;waterpark at extra cost;adults-only beach option;packages extend ashore,USD,a-cc-01,Facts stated in our own words - keep it that way,,,
nassau,Nassau Bahamas,call,The Bahamian capital mixes white-sand beaches with colonial forts and a famously colorful waterfront. Day options run from straight beach time to dolphin encounters reef trips and jeep tours - or a short hop to Paradise Island.,Beaches;colonial forts;dolphin and reef excursions;Paradise Island,USD;BSD,a-na-01,,,,
miami,Miami FL,embark,The world's cruise capital: easy airport connections year-round sailings and a night-before stay in South Beach if you want it.,Biggest US cruise hub;year-round departures;easy flights,USD,a-mi-01,,,,
galveston,Galveston TX,embark,Texas cruising without the flight: three terminals on the Gulf a drive from the entire region with parking lots and seawall hotels built around the cruise routine.,Drive-in port for Texas;park-and-cruise packages;seawall hotels;Strand historic district;Pleasure Pier,USD,a-ga-01,pre_cruise facts verified 2026-07-29 on portofgalveston.com Things to Do in Galveston page (port authority site); prose our own words,https://www.portofgalveston.com/cruise-parking/explore-the-port/explore-galveston/,2026-07-29,"Arrive a day early and Galveston gives you a real port town to explore. The Strand Historic District downtown is a National Historic Landmark of Victorian buildings from the island's 19th century shipping era, now lined with shops and galleries. The Texas Seaport Museum tells the maritime story and includes Elissa, a 19th century tall ship you can tour. On the seawall side, the Galveston Island Historic Pleasure Pier puts amusement rides and carnival games right over the Gulf. For beach time, East Beach is the lively pick while Galveston Island State Park offers more than 2,000 acres of sand, marsh and trails, and Moody Gardens adds an aquarium and a rainforest pyramid for families."
cozumel,Cozumel Mexico,call,Mexico's busiest cruise island is famous for reef snorkeling beach clubs and an easy walkable port area.,Reef snorkeling;beach clubs;Mayan ruin trips via ferry,USD;MXN,a-cz-01,Currency re-verified 2026-07-29 on royalcaribbean.com port page (Currency Accepted block lists Mexican Peso and U.S. Dollar),https://www.royalcaribbean.com/cruise-to/cozumel-mexico,2026-07-29,
costa-maya,Costa Maya Mexico,call,A Royal Caribbean port of call in Mexico on Western Caribbean sailings from Galveston.,,,a-cm-01,"UNVERIFIED port detail: official royalcaribbean.com/cruise-to page for Costa Maya returned 503 on the collection pass, on qa retry, and on 5 further polite retries 2026-07-29 (slugs costa-maya-mexico, costa-maya, mahahual-mexico all serve the RC error page). Currency and highlights emptied per provenance policy - do NOT render currency chips until the page loads. Blurb trimmed to the one fact traceable to a loaded official page: Costa Maya Mexico is a port of call on verified Galveston Western Caribbean itineraries (source URL = i0005 official itinerary page, day 3 in 04_itinerary_days). Retry the cruise-to page next weekly pass.",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,2026-07-29,
roatan,Roatan Honduras,call,"The largest of Honduras's Bay Islands sits beside the world's second largest barrier reef, so snorkeling and diving lead the day here. Ashore there are beach towns, a wildlife park where monkeys roam, jungle ziplines, and the island's Garifuna culture. Ships on Royal Caribbean's Galveston routes dock from morning to late afternoon.",Reef snorkeling and diving;Gumbalimba Park wildlife;jungle ziplines;Garifuna culture;beach towns,HNL;USD,a-ro-01,"Currency and blurb facts verified 2026-07-29 on royalcaribbean.com port page (Currency Accepted: Honduran Lempira, U.S. Dollar); prose our own words",https://www.royalcaribbean.com/cruise-to/roatan-honduras,2026-07-29,
belize-city,Belize City Belize,call,"A tender port on select Liberty of the Seas sailings from Galveston: the ship anchors offshore and boats carry guests in for the day. Shore trips head for ancient Maya ruins, cave tubing on jungle rivers, and rainforest ziplines, and a duty-free shopping village sits right at the harbor.",Maya ruins trips;cave tubing;rainforest ziplines;harborfront duty-free village,BZD,a-bz-01,Currency and excursion facts verified 2026-07-29 on royalcaribbean.com port page (Currency Accepted: Belize Dollar); same page notes most shops also take US dollars; prose our own words,https://www.royalcaribbean.com/cruise-to/belize-city-belize,2026-07-29,
george-town,George Town Grand Cayman,call,"Grand Cayman's harbor is a tender stop: the ship anchors and boats shuttle guests ashore for a full day. The island's headliners are Seven Mile Beach, snorkeling with stingrays at Stingray City, and the Cayman Turtle Centre.",Seven Mile Beach;Stingray City;Cayman Turtle Centre,KYD,a-gt-01,Currency and blurb facts verified 2026-07-29 on royalcaribbean.com port page (Currency Accepted: Cayman Islands Dollar); prose our own words,https://www.royalcaribbean.com/cruise-to/george-town-grand-cayman,2026-07-29,
falmouth,Falmouth Jamaica,call,"A Jamaican cruise port between Montego Bay and Ocho Rios with a full docked day ashore. Waterfall climbs and river tubing trips run from here, and Water Square in the town center is the spot for local music and market life.",Waterfall climbs;river tubing;Water Square town center;between Montego Bay and Ocho Rios,JMD;USD,a-fm-01,"Currency and blurb facts verified 2026-07-29 on royalcaribbean.com port page (Currency Accepted: Jamaican Dollar, U.S. Dollar); prose our own words",https://www.royalcaribbean.com/cruise-to/falmouth-jamaica,2026-07-29,
willemstad,Willemstad Curacao,call,"Curacao's capital, a full-day docked call on the one-way Galveston to Fort Lauderdale repositioning.",,,a-wi-01,Added 2026-07-29; facts limited to royalcaribbean.com Galveston itinerary data; UNVERIFIED beyond that - enrich blurb from official sources before publishing rich content,,,
oranjestad,Oranjestad Aruba,call,"Aruba's port city, a full-day docked call on the one-way Galveston to Fort Lauderdale repositioning.",,,a-or-01,Added 2026-07-29; facts limited to royalcaribbean.com Galveston itinerary data; UNVERIFIED beyond that - enrich blurb from official sources before publishing rich content,,,
fort-lauderdale,Fort Lauderdale FL,call,The Florida endpoint of Symphony of the Seas' one-way repositioning from Galveston; Royal Caribbean also sails from here.,,,a-fl-01,Added 2026-07-29; facts limited to royalcaribbean.com Galveston itinerary data; UNVERIFIED beyond that - enrich blurb from official sources before publishing rich content; appears as disembark-only in the Galveston slice,,,
