line_id,line_name,slug,tier,priority,deposit_note,kids_policy,page_status,source_deposit,source_kids
rci,Royal Caribbean,royal-caribbean,mainstream-mega,1,"Standard deposit $100 pp on 1-5 night, $250 pp on 6-9 night, $450 pp on 10-14 night and $500 pp on 15+ night sailings; Bermuda sailings always $250 pp; suite deposits are 10% of the cruise fare or the standard amount, whichever is higher. Final payment due 75 days out (1-4 nights), 90 days (5-14 nights) or 120 days (15+ nights)",Adventure Ocean youth program covers ages 3-17 with separate programs per age group; on ships that carry the Royal Babies & Tots nursery it takes 6-36 month olds for an extra fee,build,https://www.royalcaribbean.com/faq/questions/deposit-requirements https://www.royalcaribbean.com/faq/questions/final-payment-schedule-policy,https://www.royalcaribbean.com/faq/questions/children-teen-activities https://www.royalcaribbean.com/guides/best-family-vacation-onboard-mariner-of-the-seas
ccl,Carnival,carnival,mainstream-value,1,Low deposits common on short sailings; Early Saver fares carry restrictions,Camp Ocean included ages 2-11; Circle C and Club O2 for teens,build,,
pcl,Princess,princess,premium,2,Deposit varies by fare type and length,Camp Discovery youth centers ages 3-17,build,,
cel,Celebrity,celebrity,premium,2,Deposit varies; non-refundable fares price lower,Camp at Sea ages 3-17; adult-leaning line overall,build,,
hal,Holland America,holland-america,premium-classic,2,Deposit varies by itinerary length,Club HAL ages 3-17; quieter family profile,build,,
msc,MSC Cruises,msc-cruises,mainstream-euro,1,Low deposits frequently promoted,Kids clubs by age band; strong kids-sail-free pricing tradition,build,,
cun,Cunard,cunard,luxury-classic,3,Higher deposits typical of premium fares,Limited kids facilities vs mainstream lines; formal culture,build,,
mvas,Margaritaville at Sea,margaritaville-at-sea,budget-short,3,Low deposits on short sailings,Casual short cruises; limited dedicated kids programming,build,,
vik,Viking,viking,luxury-adult,3,Higher deposits; adult-only line,No guests under 18 - exclude from all family pages,build,,
ssc,Silversea,silversea,ultra-luxury,3,Luxury deposit terms; largely all-inclusive fares,Limited children's facilities; not family-positioned,build,,
